"F1AE1414       ","UD ALE 1   25 KV 01 PEIN      ","UD 1   AL, 260 EPR,13#14,LLDPE","F09",25.000     ,1     ,"EPR",42.00    ,"1 AWG     ","I05","SH4","T01","UAE","LDP","AWG","S06","AL ","PRS",.330     ,.728     ,1.20       ,"   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE1416       ","UD ALE 1/0 25 KV 01 PEIN      ","UD 1/0AL, 260EPR,  16#14,LLDPE","F09",25.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I05","SH4","T01","UAE","LDP","AWG","S04","AL ","PRS",.368     ,.811     ,1.24       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE14163      ","UD ALE 1/0 25 KV 03 PEIN      ","UD 1/0AL, 260EPR,   6#14,LLDPE","F09",25.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I05","SH4","T01","UAE","LDP","AWG","S05","AL ","PRS",.313     ,.690     ,1.23       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE14203      ","UD ALE 3/0 25 KV 03 PEIN      ","UD 3/0 AL, 260 EPR,09#14,LLDPE","F09",25.000     ,1     ,"EPR",85.00    ,"3/0 AWG   ","I05","SH4","T01","UAE","LDP","AWG","S10","AL ","PRS",.383     ,.844     ,1.32       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE1422       ","UD ALE 4/0 25 KV 01 PEIN      ","UD 4/0 AL, 260 EPR,32#14,LLDPE","F09",25.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I05","SH4","T01","UAE","LDP","AWG","S48","AL ","PRS",.551     ,1.215    ,1.41       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE14223      ","UD ALE 4/0 25 KV 03 PEIN      ","UD 4/0AL, 260EPR,  11#14,LLDPE","F09",25.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I05","SH4","T01","UAE","LDP","AWG","S12","AL ","PRS",.444     ,.979     ,1.41       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE1428       ","UD ALE 500 25 KV 03 PEIN      ","UD 500 AL, 260 EPR,25#14,LLDPE","F09",25.000     ,1     ,"EPR",253.00   ,"500 MCM   ","I05","SH4","T01","UAE","LDP","AWG","S49","AL ","PRS",.739     ,1.629    ,1.77       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE1430       ","UD ALE 750 25 KV 03 PEIN      ","UD 750 AL, 260 EPR,24#12,LLDPE","F09",25.000     ,1     ,"EPR",380.00   ,"750 MCM   ","I05","SH4","T01","UAE","LDP","AWG","S18","AL ","PRS",1.037    ,2.286    ,2.01       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE1432       ","UD ALE 1000 25 KV 03 PEIN     ","UD 1000AL, 260 EPR,20#10,LLDPE","F09",25.000     ,1     ,"EPR",507.00   ,"1000 MCM  ","I05","SH4","T01","UAE","LDP","AWG","S39","AL ","PRS",1.302    ,2.870    ,2.17       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","011","YES","NA3"
"F1AE1433       ","UD ALE 1/0 35 KV 01 PEIN      ","UD 1/0AL, 345EPR,  16#14,LLDPE","F09",35.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S04","AL ","PRS",.457     ,1.008    ,1.46       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE14333      ","UD ALE 1/0  35 KV 03 PEIN     ","UD 1/0AL, 345EPR  , 6#14,LLDPE","F09",35.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S05","AL ","PRS",.405     ,.893     ,1.43       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE1435       ","UD ALE 2/0 35 KV 01 PEIN      ","UD 2/0AL, 345EPR,  20#14,LLDPE","F09",35.000     ,1     ,"EPR",67.00    ,"2/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S34","AL ","PRS",.492     ,1.085    ,1.47       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE14353      ","UD ALE 2/0 35 KV 03 PEIN      ","UD 2/0AL, 345EPR,   7#14,LLDPE","F09",35.000     ,1     ,"EPR",67.00    ,"2/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S11","AL ","PRS",.425     ,.937     ,1.47       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AE1439       ","UD ALE 4/0 35 KV 01 PEIN      ","UD 4/0AL, 345EPR,  32#14,LLDPE","F09",35.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S48","AL ","PRS",.660     ,1.455    ,1.71       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE14393      ","UD ALE 4/0  35 KV 03 PEIN     ","UD 4/0AL, 345EPR,  11#14,LLDPE","F09",35.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S12","AL ","PRS",.569     ,1.254    ,1.58       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE1443       ","UD ALE 350  35 KV 01 PEIN     ","UD 350 AL, 345 EPR,32#12,LLDPE","F09",35.000     ,1     ,"EPR",177.00   ,"350 MCM   ","I08","SH4","T01","UA3","LDP","AWG","S36","AL ","PRS",.915     ,2.017    ,1.81       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE14433      ","UD ALE 350  35 KV 03 PEIN     ","UD 350 AL, 345 EPR,18#14,LLDPE","F09",35.000     ,1     ,"EPR",177.00   ,"350 MCM   ","I08","SH4","T01","UA3","LDP","AWG","S14","AL ","PRS",.725     ,1.598    ,1.81       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE1445       ","UD ALE 500 35 KV 03 PEIN      ","UD 500 AL, 345 EPR,16#12,LLDPE","F09",35.000     ,1     ,"EPR",253.00   ,"500 MCM   ","I08","SH4","T01","UA3","LDP","AWG","S08","AL ","PRS",.880     ,1.940    ,1.95       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE1447       ","UD ALE 750 35 KV 03 PEIN      ","UD 750 AL, 345 EPR,24#12,LLDPE","F09",35.000     ,1     ,"EPR",380.00   ,"750 MCM   ","I08","SH4","T01","UA3","LDP","AWG","S18","AL ","PRS",1.179    ,2.599    ,2.20       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE1449       ","UD ALE 1000 35 KV 03 PEIN     ","UD 1000AL, 345 EPR,20#10,LLDPE","F09",35.000     ,1     ,"EPR",507.00   ,"1000 MCM  ","I08","SH4","T01","UA3","LDP","AWG","S39","AL ","PRS",1.446    ,3.188    ,2.39       ,"UA3","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","012","YES","NA4"
"F1AE2775       ","MV105 ALE 1/0  5KV 133 CTS    ","MV105 1/0AL ,115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",53.00    ,"1/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.201     ,.443     ,.90        ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2777       ","MV105 ALE 2/0  5KV 133 CTS    ","MV105 2/0AL, 115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",67.00    ,"2/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.222     ,.489     ,1.00       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2779       ","MV105 ALE 3/0 5KV 133 CTS     ","MV105 #3/0 AL,115EPR, CTS,PVC ","F05",5.000      ,1     ,"EPR",85.00    ,"3/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.252     ,.556     ,1.00       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2781       ","MV105 ALE 4/0 5KV 133 CTS     ","MV105 4/0AL, 115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",107.00   ,"4/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.286     ,.631     ,1.05       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2783       ","MV105 ALE 250 5KV 133 CTS     ","MV105 #250 AL,115EPR, CTS,PVC ","F05",5.000      ,1     ,"EPR",127.00   ,"250 MCM   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.311     ,.686     ,1.10       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2785       ","MV105 ALE 350 5KV 133 CTS     ","MV105 350AL, 115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",177.00   ,"350 MCM   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.375     ,.827     ,1.21       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2787       ","MV105 ALE 500  5KV 133 CTS(CT)","MV105 500AL ,115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",253.00   ,"500 MCM   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.478     ,1.054    ,1.31       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2789       ","MV105 ALE 750  5KV 133 CTS(CT)","MV105 750AL ,115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",380.00   ,"750 MCM   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.650     ,1.433    ,1.53       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE2791       ","MV105 ALE 1000 5KV 133 CTS(CT)","MV105 1000AL,115EPR, CTS,  PVC","F05",5.000      ,1     ,"EPR",507.00   ,"1000 MCM  ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.836     ,1.843    ,1.74       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","028","YES","NA1"
"F1AE3253       ","MV105 ALE 2   15KV 100 CTS(CT)","MV105 #2 AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",33.00    ,"2 AWG     ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.215     ,.474     ,.95        ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3255       ","MV105 ALE 1/0 15KV 100 CTS(CT)","MV105 1/0AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.246     ,.542     ,1.03       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3257       ","MV105 ALE 2/0 15KV 100 CTS(CT)","MV105 2/0AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",67.00    ,"2/0 AWG   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.273     ,.602     ,1.07       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
