"710907         ","GAB ","BZ 1250/500/600/54            ",50     ,0      ,1250   ,600    ,500    ,54     ,1700   ,"Y"
"710907         ","IEC ","BZ 1250/500/600/54            ",50     ,0      ,1250   ,600    ,500    ,54     ,1700   ,"Y"
"710909         ","ALL ","BZ 1400/710/850/60            ",50     ,0      ,1400   ,850    ,710    ,60     ,2200   ,"Y"
"710909         ","BZ  ","BZ 1400/710/850/60            ",50     ,0      ,1400   ,850    ,710    ,60     ,2200   ,"Y"
"710909         ","DE  ","BZ 1400/710/850/60            ",50     ,0      ,1400   ,850    ,710    ,60     ,2200   ,"Y"
"710909         ","GAB ","BZ 1400/710/850/60            ",50     ,0      ,1400   ,850    ,710    ,60     ,2200   ,"Y"
"710909         ","IEC ","BZ 1400/710/850/60            ",50     ,0      ,1400   ,850    ,710    ,60     ,2200   ,"Y"
"710910         ","ALL ","BZ 1500/710/850/60            ",50     ,0      ,1500   ,850    ,710    ,60     ,2300   ,"Y"
"710910         ","BZ  ","BZ 1500/710/850/60            ",50     ,0      ,1500   ,850    ,710    ,60     ,2300   ,"Y"
"710910         ","GAB ","BZ 1500/710/850/60            ",50     ,0      ,1500   ,850    ,710    ,60     ,2300   ,"Y"
"710910         ","IEC ","BZ 1500/710/850/60            ",50     ,0      ,1500   ,850    ,710    ,60     ,2300   ,"Y"
"710911         ","ALL ","BZ 1600/710/870/60            ",50     ,0      ,1600   ,870    ,710    ,60     ,2400   ,"Y"
"710911         ","BZ  ","BZ 1600/710/870/60            ",50     ,0      ,1600   ,870    ,710    ,60     ,2400   ,"Y"
"710911         ","DE  ","BZ 1600/710/870/60            ",50     ,0      ,1600   ,870    ,710    ,60     ,2400   ,"Y"
"710911         ","GAB ","BZ 1600/710/870/60            ",50     ,0      ,1600   ,870    ,710    ,60     ,2400   ,"Y"
"710911         ","IEC ","BZ 1600/710/870/60            ",50     ,0      ,1600   ,870    ,710    ,60     ,2400   ,"Y"
"710913         ","ALL ","BZ 1700/800/870/60            ",50     ,0      ,1700   ,870    ,800    ,60     ,2500   ,"Y"
"710913         ","BZ  ","BZ 1700/800/870/60            ",50     ,0      ,1700   ,870    ,800    ,60     ,2500   ,"Y"
"710913         ","GAB ","BZ 1700/800/870/60            ",50     ,0      ,1700   ,870    ,800    ,60     ,2500   ,"Y"
"710913         ","IEC ","BZ 1700/800/870/60            ",50     ,0      ,1700   ,870    ,800    ,60     ,2500   ,"Y"
"710915         ","ALL ","BZ 1800/800/870/60            ",50     ,0      ,1800   ,870    ,800    ,60     ,2700   ,"Y"
"710915         ","BZ  ","BZ 1800/800/870/60            ",50     ,0      ,1800   ,870    ,800    ,60     ,2700   ,"Y"
"710915         ","DE  ","BZ 1800/800/870/60            ",50     ,0      ,1800   ,870    ,800    ,60     ,2700   ,"Y"
"710915         ","GAB ","BZ 1800/800/870/60            ",50     ,0      ,1800   ,870    ,800    ,60     ,2700   ,"Y"
"710915         ","IEC ","BZ 1800/800/870/60            ",50     ,0      ,1800   ,870    ,800    ,60     ,2700   ,"Y"
"710917         ","ALL ","BZ 2000/1000/870/67           ",50     ,0      ,2000   ,870    ,1000   ,67     ,3500   ,"Y"
"710917         ","BZ  ","BZ 2000/1000/870/67           ",50     ,0      ,2000   ,870    ,1000   ,67     ,3500   ,"Y"
"710917         ","DE  ","BZ 2000/1000/870/67           ",50     ,0      ,2000   ,870    ,1000   ,67     ,3500   ,"Y"
"710917         ","GAB ","BZ 2000/1000/870/67           ",50     ,0      ,2000   ,870    ,1000   ,67     ,3500   ,"Y"
