"LT","CU1","CU LEAD TIME                            ",11     ,14     ,0      ,0      ,100000   ,0    ,"15","1              ",7      ,"600 ","    ","    ",5       ,5       ,121217  ,185022  ,"CELIA     ","ERELAB21  "
"LT","N41","     ие©цаей иех╙г                      ",30     ,40     ,0      ,0      ,5000     ,0    ,"15","1              ",7      ,"    ","    ","    ",7       ,10      ,121023  ,153954  ,"AMOS      ","PCAMTCP1  "
"LT","NA1","MV105 - CU/EPR/CTS/PVC                  ",10     ,15     ,2      ,3      ,5000     ,0    ,"12","F1CE3156       ",27     ,"600 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA2","UD AL/35KV TRXLP/CN/LLDPE -  WINDFARMS  ",10     ,15     ,2      ,2      ,5000     ,0    ,"12","F1AX1320RWR2Y  ",27     ,"600 ","    ","    ",1       ,1       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA3","UD AL EPR CN LLDPE 15-35KV              ",10     ,15     ,2      ,3      ,5000     ,0    ,"12","F1AE1403       ",27     ,"600 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA4","UD AL TRXLP CN LLDPE 15-35KV            ",10     ,15     ,2      ,3      ,5000     ,0    ,"12","F1AX1278Y      ",27     ,"600 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA5","AIRPORT LIGHTING CABLES US              ",10     ,15     ,2      ,3      ,5000     ,0    ,"15","F1LC11108      ",7      ,"600 ","    ","    ",3       ,5       ,121217  ,185134  ,"CELIA     ","ERELAB21  "
"LT","NA7","UD CU TRXLP CN LLDPE 15-35KV            ",10     ,15     ,2      ,3      ,5000     ,0    ,"12","F1CX1027       ",27     ,"600 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA8","MV90 - CU/XLPE (CENTRAL AMERICA)        ",10     ,15     ,2      ,3      ,5000     ,0    ,"12","F1CX10020      ",27     ,"600 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA6","UD CU EPR CN LLDPE 15-35KV              ",10     ,15     ,2      ,3      ,5000     ,0    ,"12","F1CE1148       ",27     ,"600 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NA9","UD AL/35KV TRXLP/CN/LLDPE -  WF CANADA  ",10     ,15     ,2      ,2      ,5000     ,0    ,"12","1AX1320RWR2Y   ",27     ,"410 ","    ","    ",1       ,1       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N42","PREMIER MV 33KV AL                      ",10     ,15     ,2      ,3      ,40000    ,0    ,"10","168640WF       ",27     ,"500 ","    ","    ",3       ,4       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N43","PREMIER MV 33KV CU                      ",10     ,15     ,2      ,3      ,40000    ,0    ,"10","168504SW       ",27     ,"500 ","    ","    ",3       ,4       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N44","BY LSF                                  ",15     ,20     ,4      ,5      ,20000    ,0    ,"15","1LT040025      ",7      ,"    ","    ","    ",5       ,7       ,121023  ,153957  ,"AMOS      ","PCAMTCP1  "
"LT","N45","AIR PORT LIGHTING CABLE                 ",15     ,20     ,13     ,18     ,40000    ,0    ,"15","185115         ",7      ,"600 ","    ","    ",5       ,7       ,121217  ,185423  ,"CELIA     ","ERELAB21  "
"LT","NB1","CU EPR 15/35 KV BRAZIL                  ",10     ,15     ,2      ,3      ,5000     ,0    ,"10","169BZ0511      ",27     ,"405 ","    ","    ",3       ,4       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NB2","AL EPR 15-35 KV BRAZIL                  ",10     ,15     ,2      ,3      ,5000     ,0    ,"10","169BZ1921      ",27     ,"405 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","NB3","AL XLPE MDPE 30 KV BRAZIL               ",10     ,15     ,2      ,3      ,5000     ,0    ,"10","ZHH8290        ",27     ,"405 ","    ","    ",3       ,5       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N46","RW90 & RWU90                            ",7      ,14     ,0      ,0      ,3000     ,0    ,"15","1RWU90194100   ",0      ,"410 ","    ","    ",0       ,0       ,140724  ,191250  ,"CELIA     ","ERELAB21  "
