"SHL","SCA","41x#12                                  "
"INS","I22","800 mils                                "
"SHL","SD0","41x#10                                  "
"SHL","SD1","38x#14                                  "
"CLS","UKR","UD AL/CU RNG/RW CN LLDPE/PVC AEIC CS8-00"
"SHL","SD2","26x#14                                  "
"SHL","SD3","42x#14                                  "
"SHL","SD4","18x#16                                  "
"SHL","SD5","47x#12                                  "
"SHL","SD6","31x#14                                  "
"SHL","SD7","14x#10                                  "
"SHL","SD8","18X#13                                  "
"SHL","SD9","47x#14                                  "
"SHL","SE1","57x#10                                  "
"SHL","SE2","10x#21                                  "
"STT","YES","Item In Catalog                         "
"STT","NO ","Item Not In Catalog                     "
"PIC","AAA","All Aluminum Alloy Conductor AAAC       "
"PIC","AAC","AAC - All Aluminum Conductor            "
"PIC","ACS","ACSR-Aluminum Conductor Steel Reinforced"
"PIC","ALF","ALPETH - Fully Filled Foam Skin         "
"PIC","CAN","Canadian Standard Power Cables          "
"PIC","CEM","MV105 CU EPR CTS PVC UL1072             "
"PIC","CET","MV105 CUT EPR CTS PVC UL1072 TINNED     "
"PIC","CEW","MV105 CU EPR CWS PVC UL1072             "
"PIC","CE3","MV105 CU EPR CTS PVC UL1072 25-35kV     "
"PIC","CE4","MV105 CU EPR CTS PVC UL1072 420MIL      "
"PIC","EHV","Extra High Voltage                      "
"PIC","FAA","FAA 824 TYPE C 5,000V                   "
"PIC","FLX","Flexible Single                         "
"PIC","LSH","Low Smoke Zero Halogen Jacketing        "
"PIC","LSM","MV cables with LSZH jacketing           "
"PIC","LSU","UD cables with LSZH jacketing           "
"PIC","MAE","MV105 ALUMINUM CONDUCTOR EPR INSULATION "
"PIC","MAX","MV90 ALUMINUM CONDUCTOR TRXLP INSULATION"
"PIC","MCE","MV90 CU EPR CTS PVC UL1072              "
"PIC","MCP","MV90 CU XLPE PE UL1072                  "
"PIC","MCX","MV90 CU XLPE PVC UL1072                 "
"PIC","MVE","MV90 ALUMINUM CONDUCTOR EPR INSULATION  "
"PIC","NRG","MV105, 3xCU, EPR, CTS, AL, HDPE, PVC    "
"PIC","P22","PE22                                    "
"PIC","P38","PE38                                    "
"PIC","P39","PE39                                    "
"PIC","P89","PE89                                    "
"PIC","TR1","TRAFFIC CABLE IMSA 19-1                 "
"PIC","TR2","TRAFFIC CABLE IMSA 20-1                 "
"PIC","UAE","UD ALUMINUM EPR CN LLDPE AEIC CS8-00    "
"PIC","UAV","UD ALUMINUM TRXLP CTS PVC/PE            "
"PIC","UAX","UD ALUMINUM TRXLP CN LLDPE AEIC CS8-00  "
"PIC","UA3","UD ALUMINUM TRXLP/EPR LLDPE 35-46kV     "
"PIC","UCC","UD COPPER XLPE - Central America        "
"PIC","UCE","UD COPPER EPR CN LLDPE AEIC CS8-00      "
"PIC","UCV","UD COPPER TRXLP/EPR CWS/CTS PVC         "
"PIC","UCX","UD COPPER TRXLP CN LLDPE AEIC CS8-00    "
"PIC","UC3","UD COPPER EPR/TRXLP CN PE/PV CS8 35-46kV"
"PIC","UDA","UD CU/AL XLPE CN AEIC CS7-93            "
"PIC","UKR","UD AL/CU RNG/RW CN LLDPE/PVC AEIC CS8-00"
"PIC","YYY","Power Division                          "
"PIC","ZAL","AL                                      "
"PIC","ZCU","CU                                      "
"PIC","ZDA","Data Cables                             "
"PIC","ZFO","Fiber Optic Cables                      "
"PIC","ZZZ","Telecom Division                        "
"INM","XLP","XLPE                                    "
"ARM","AWA","Aluminum Wire Armor                     "
"ARM","SWA","Steel Wire Armor                        "
"ARM","DST","Double Steel Tape Armor                 "
"ARM","FGB","Flat Steel Strips Armor                 "
"ARM","LED","Lead Armoring                           "
"OUT","PVC","PVC                                     "
"OUT","LDP","LLDPE                                   "
"OUT","MDP","MDPE                                    "
"OUT","HDP","HDPE                                    "
"OUT","LSH","LS0H                                    "
"OUT","HFR","HFFR                                    "
"SIZ","MTR","mm                                      "
"SIZ","AWG","inch                                    "
"CMA","CU ","Copper                                  "
"CMA","AL ","Aluminum                                "
"CCO","PRS","Compressed                              "
"CCO","PCT","Compact                                 "
"CCO","SLD","Solid                                   "
"CCO","SGM","Segmented                               "
"CCO","MIL","Milliken                                "
"CCO","RND","Round                                   "
"CWB","YRN","Yarn                                    "
"LWB","SWL","Swelling Tape                           "
"LWB","ALF","Aluminum Foil                           "
"INM","TRX","TR-XLPE                                 "
"INM","EPR","EPR                                     "
"INM","PVC","PVC                                     "
"INS","I23","90 mils - 5kV (FAA)                     "
"FAM","F01","Flexible Cables                         "
"FAM","F02","Low Voltage                             "
"FAM","F03","High Voltage                            "
"FAM","F04","MV90 UL1072 Listed                      "
"FAM","F05","MV105 UL1072 Listed                     "
"FAM","F06","Traffic Cables IMSA 19-1                "
"FAM","F07","Traffic Cables IMSA 20-1                "
"FAM","F08","Airport Lighting Cables to FAA L-824C   "
"FAM","F09","UD to AEIC CS8                          "
"TEM","T01","90 degrees                              "
"TEM","T02","105 degrees                             "
"TEM","T03","90                                      "
"TEM","T04","105                                     "
"SCR","SH1","Copper Tape Shield                      "
"SCR","SH2","Copper Wire Shield                      "
"SCR","SH3","Tinned Copper Concentric Neutral        "
"SCR","SH4","Copper Concentric Neutral               "
"SCR","SH5","Brass Tape Shield                       "
"SCR","SH6","Unshielded                              "
"OUT","NOS","None                                    "
"SHL","SE3","28x#16                                  "
"SHL","SE4","51x#14                                  "
"CLS","CCS","CCS 30%/40% COPPERCLAD STEEL            "
"SHL","SE5","26x#13                                  "
"SHL","SE6","52x#16                                  "
"SHL","SE7","54x#16                                  "
"PIC","ALA","ALPETH - Air Core PE Insulated          "
"PIC","CCS","CCS 30%/40% COPPERCLAD STEEL            "
"PIC","ZTE","Copper Telephone Cables                 "
"PIC","ZZY","Telecom Bezeq Stock cables              "
"CLS","MCW","MV90 CU EPR CWS PVC UL1072              "
"PIC","MCW","MV90 CU EPR CWS PVC UL1072              "
"CLS","MCN","MV90 CU EPR NON-SHIELDED PVC UL1072     "
"PIC","MCN","MV90 CU EPR NON-SHIELDED PVC UL1072     "
"PIC","UCN","UD COPPER TRXLP/EPR CN PVC              "
"CLS","UCN","UD COPPER TRXLP/EPR CN PVC              "
"SHL","SE8","50x#12                                  "
"SHL","SE9","48x#12                                  "
"SHL","SF0","30x#08                                  "
"SHL","SF1","20x#16                                  "
"SHL","SF2","33x#16                                  "
"CLS","UAP","UD ALUMINUM EPR CTS LLDPE 35-46kV       "
"PIC","UAP","UD ALUMINUM EPR CTS LLDPE 35-46kV       "
"CLS","FLT","Flexible Twin                           "
"CLS","FEP","Flexible EP                             "
"CLS","FSD","Flexible SDI                            "
"PIC","FLT","Flexible Twin                           "
"PIC","FEP","Flexible EP                             "
"PIC","FSD","Flexible SDI                            "
"CLS","BAX","BS 7870, 6622 AL TRX                    "
"CLS","BCX","BS 7870, 6622 CU TRX                    "
"CLS","YSY","LIYYSY                                  "
"CLS","YCY","LIYCY                                   "
"CLS","BTR","BS Traffic PVC/SWA/PVC                  "
"CLS","BBL","BS BOOKLET XLPE/SWA/PVC                 "
"CLS","GAX","VDE AL TRX                              "
"CLS","GCX","VDE CU TRX                              "
"PIC","BAX","BS 7870, 6622 AL TRX                    "
"PIC","BCX","BS 7870, 6622 CU TRX                    "
"PIC","YSY","LIYYSY                                  "
"PIC","YCY","LIYCY                                   "
"PIC","BTR","BS Traffic PVC/SWA/PVC                  "
"PIC","BBL","BS BOOKLET XLPE/SWA/PVC                 "
"PIC","GAX","VDE AL TRX                              "
"PIC","GCX","VDE CU TRX                              "
